Mold Management,模具管理,
Mold,模具,
Mold Name,模具名称,
Mold Type,模具类型,
Mold Status,模具状态,
Mold Dashboard,模具看板,
Mold Operations Dashboard,模具运营看板,
Mold Management Dashboard,模具管理看板,
Mold Management Settings,模具管理设置,
Mold Storage Board,模具库位看板,
Mold Storage Location,模具存放位置,
Mold Storage Log,模具存放日志,
Mold Activity Log,模具活动日志,
Mold Alteration,模具改模,
Mold Alteration History,模具改模历史,
Mold Default Material,模具默认材料,
Mold Material Lookup,模具材料查询,
Mold Outsource,模具外发,
Mold Product,模具产品,
Mold Products,模具产品明细,
Mold Spare Part,模具备件,
Mold Spare Part Mold,模具备件适用模具,
Mold Spare Part Usage,模具备件使用记录,
Molds By Item,按物料查询模具,
Molds for {0},{0} 的模具,
Master Data,主数据,
Transactions,业务单据,
Reports,报表,
Storage Board,库位看板,
Dashboard,仪表板,
View,查看,
View Logs,查看日志,
View Molds,查看模具,
View Spare Parts,查看备件,
Open Mold,打开模具,
Open Report,打开报表,
Open Activity Report,打开活动报表,
Activity Report,活动报表,
Open Related Document,打开关联单据,
Open Related,打开关联单据,
Open Storage Slots,打开库位,
Refresh,刷新,
Open Board,打开看板,
Actions,操作,
Action,操作,
Action Blocked,操作被阻止,
Create,创建,
Close,关闭,
Confirm,确认,
Continue,继续,
Return,归还,
Transfer,转移,
Issue,领用,
Repair,维修,
Maintenance,保养,
Outsource,外发,
Alteration,改模,
Scrap,报废,
Use Mold,使用模具,
Use Spare Part,消耗备件,
Print Label,打印标签,
Print A4 Label,打印汇总标签,
Scan Mold Barcode,扫描模具条码,
Scan Another Mold,继续扫描其他模具,
Camera Scan,相机扫码,
Create / Link Asset,创建/关联资产,
Asset Setup,资产建档,
Create Return Receipt,创建归还收货,
Return Outsource,外发归还,
Return Outsource First,请先归还外发模具,
Mark Returned,标记为已归还,
Cancel Basic Info Edit,取消基础信息编辑,
Cancel Edit,取消编辑,
Basic Info Edit,基础信息编辑,
Edit Basic Info,编辑基础信息,
Basic Info Edit is active,基础信息编辑已启用,
Basic Info Edit Roles,基础信息编辑角色,
Basic Information,基础信息,
Basic Identity,基础标识,
Engineering,工程信息,
Dimensions,尺寸信息,
Details,详情,
Description,说明,
Notes,备注,
Remarks,备注,
Summary,摘要,
Reason,原因,
Attachment,附件,
Reference,引用信息,
Reference Doctype,引用单据类型,
Reference Name,引用单据名称,
Version,版本,
Version Progression,版本推进规则,
Current Version,当前版本,
From Version,起始版本,
To Version,目标版本,
Alteration Type,改模类型,
Alteration Date,改模日期,
Alteration Print Format,改模确认打印格式,
TPR Reference,TPR单号,
MCR Reference,MCR单号,
Change Details,变更详情,
Lifecycle,生命周期,
Asset & Lifecycle,资产与生命周期,
Linked Asset,关联资产,
Asset,资产,
Asset Guardrails,资产管控,
Asset Value,资产价值,
Asset Value Required,需要资产价值,
Asset setup is pending,资产建档待完成,
Asset setup is still pending,资产建档尚未完成,
Asset has not been created or linked yet,资产尚未创建或关联,
Create or link an Asset first.,请先创建或关联资产。,
Create or link an Asset before creating a Mold Alteration.,创建模具改模前请先创建或关联资产。,
Create or link the mold Asset first. Until then the lifecycle actions remain locked.,请先创建或关联模具资产。在此之前生命周期操作会保持锁定。,
Linking Asset...,正在关联资产...,
Creating Asset...,正在创建资产...,
Asset is required when linking an existing asset.,关联已有资产时必须选择资产。,
Asset Category is missing in Mold Management Settings.,模具管理设置中缺少资产类别。,
Asset Item must be configured in Mold Management Settings for this ownership type.,当前所有权类型必须在模具管理设置中配置资产物料。,
Asset Value must be set on the Mold before creating an Asset.,创建资产前必须先在模具上填写资产价值。,
Only the configured mold asset item and asset category are allowed. One asset cannot be linked to multiple molds.,仅允许使用已配置的模具资产物料和资产类别。同一资产不能关联多个模具。,
Unlink the linked Asset before deleting this mold.,删除该模具前请先取消关联资产。,
Status,状态,
Pending Asset Link,待关联资产,
Active,启用,
Issued,已领用,
Under Maintenance,维修中,
Under External Maintenance,外发维修中,
Outsourced,外发,
Scrapped,已报废,
Unknown,未知,
Current,当前,
Open,打开,
Cancelled,已取消,
Returned,已归还,
Current Holder / Destination,去向,
Current Location,当前位置,
Current Mold,当前模具,
Current Warehouse,当前仓库,
Current Storage Bin,当前储位,
Current Transaction Type,当前事务类型,
Current Transaction Ref,当前事务单号,
Current Shot Count,当前啤数,
Last Activity,最近活动,
Last Activity On,最近活动时间,
Last Transfer On,最近转移时间,
Last Issue On,最近领用时间,
Last Receipt On,最近归还时间,
Last Repair On,最近维修时间,
Last Maintenance On,最近保养时间,
Last Outsource On,最近外发时间,
Last Alteration On,最近改模时间,
Activity,活动,
Detail,详情,
Document,单据,
Date,日期,
Posting Time,过账时间,
Event Type,事件类型,
Status Change,状态变更,
From Status,原状态,
To Status,目标状态,
Own Mold Asset Item,自有模具资产物料,
Own Mold Asset Category,自有模具资产类别,
Customer Mold Asset Item,客户模具资产物料,
Customer Mold Asset Category,客户模具资产类别,
Ownership Type,所有权类型,
Ownership Mapping,所有权映射,
Company,公司,
Customer,客户,
Customer is required,必须填写客户,
Customer is required when ownership type is Customer.,当所有权类型为客户时，必须填写客户。,
Customer is required for customer outsource destinations.,外协目的地为客户时，必须填写客户。,
Company-owned molds need Asset Value before asset creation,公司自有模具在创建资产前需要填写资产价值,
Default Location,默认位置,
Default Warehouse,默认仓库,
Default Storage Bin,默认储位,
Default Mold Location,默认模具位置,
Default Mold Warehouse,默认模具仓库,
Default Mold Storage Bin,默认模具储位,
Default mold warehouse is recommended,建议设置默认模具仓库,
Default storage bin is empty,默认储位为空,
Available for Use Date,可投入使用日期,
Available-for-use Date should be after purchase date,可投入使用日期必须晚于采购日期,
Barcode,条码,
Barcode Center,条码中心,
Barcode Tools,条码工具,
Mold Barcode,模具条码,
Mold Barcode Center,模具条码中心,
Barcode value is required.,必须填写条码值。,
No Mold was found for barcode {0}.,未找到条码 {0} 对应的模具。,
Resolving Mold Barcode...,正在解析模具条码...,
Scan the mold label barcode or paste the Mold number directly.,请扫描模具标签条码，或直接粘贴模具编号。,
Barcode content uses Mold.name and can be scanned in mold lookup workflows.,条码内容使用模具编号，可用于模具查询流程扫码识别。,
Loaded Mold {0},已加载模具 {0},
Mold No.,模具编号,
Mold Labels,模具标签,
Storage,存放信息,
Storage Code,存放编码,
Storage Status,库位状态,
Storage Bin,储位,
Storage Slot,存放位,
Warehouse,仓库,
Location,位置,
To Warehouse,目标仓库,
To Location,目标位置,
To Storage Bin,目标储位,
From Warehouse,来源仓库,
From Location,来源位置,
From Storage Bin,来源储位,
Target Warehouse,目标仓库,
Target Location,目标位置,
Target Storage Bin,目标储位,
To Employee,目标员工,
Visible Slots,可见库位数,
Occupied,已占用,
Available,可用,
Submitted Molds,已提交模具数,
Main mold master records only,仅统计主模具主数据记录,
Ready for internal use,可供内部使用,
Pending Asset,待建资产,
Need create / link asset,需要创建/关联资产,
Currently outside standard location,当前不在标准存放位置,
External production / modification / inspection,外部生产 / 改模 / 检验,
Internal + external maintenance,内部 + 外部维修,
Company-Owned,公司自有,
Self-owned molds,自有模具,
Customer-Owned,客户所有,
Managed via asset flow without depreciation,通过资产流程管理且不计提折旧,
Open Outsource,未关闭外协,
Submitted and still open,已提交且仍未关闭,
{0} occupied / {1} available,{0} 已占用 / {1} 可用,
Dashboard refreshed from submitted records.,已根据已提交记录刷新看板。,
Failed to load mold dashboard.,加载模具看板失败。,
Loading dashboard...,正在加载看板...,
Only submitted mold documents are counted here. Draft records stay outside the dashboard and storage board.,这里只统计已提交的模具单据。草稿记录不会进入该看板和库位看板。,
Submitted storage slots only,仅显示已提交库位,
No submitted Mold Storage Location records were found yet. Submit the storage slot masters first and they will appear here automatically.,尚未找到已提交的模具存放位置记录。请先提交库位主数据，之后会自动显示在这里。,
Locations,库区数量,
Slots currently carrying a mold,当前有模具占用的库位,
Free slots still available,仍可使用的空闲库位,
Submitted storage slot masters after filters,筛选后已提交的库位主数据,
Submitted storage slots grouped by location,按位置分组展示已提交库位,
Storage bins currently grouped under this location,当前归属该位置的储位,
No submitted storage slots matched the current filters,当前筛选条件下没有匹配的已提交库位,
Adjust Warehouse / Location / Status filters or submit Mold Storage Location records first.,请调整仓库/位置/状态筛选条件，或先提交模具存放位置记录。,
Loading submitted storage slots...,正在加载已提交库位...,
Showing submitted Mold Storage Location records only.,仅显示已提交的模具存放位置记录。,
Failed to load Mold Storage Board.,加载模具库位看板失败。,
Unassigned Warehouse,未分配仓库,
Unassigned Location,未分配位置,
{0} Slots,{0} 个库位,
{0} Bins,{0} 个储位,
{0} warehouses in current view,当前视图包含 {0} 个仓库,
Material Information,材料信息,
Material Item,材料物料,
Material Name,材料名称,
Color / Spec,颜色/规格,
Applicable Item,适用物料,
Grade,牌号,
Steel Grade,钢材牌号,
Ratio Percent,配比百分比,
Output Information,产出信息,
Output Qty,产出数量,
Cavity Output Qty,穴数产量,
Cycle Time (Seconds),周期时间（秒）,
Standard Cycle (Seconds),标准周期（秒）,
Cavity Count,穴数,
Machine Tonnage,机台吨位,
Design Shot Life,设计寿命啤数,
Manufacturer,制造商,
Supplier,供应商,
Supplier Tool No,供应商模号,
Drawing No,图号,
Length (mm),长度（毫米）,
Width (mm),宽度（毫米）,
Height (mm),高度（毫米）,
Weight (kg),重量（千克）,
Priority,优先级,
Family Mold,家族模（一模多件）,
Family molds must carry at least two Mold Product rows.,家族模（一模多件）至少要包含两条模具产品记录。,
Family Mold requires at least two Mold Product rows,家族模（一模多件）至少需要两条模具产品记录,
Family Mold requires at least two Mold Product rows.,家族模（一模多件）至少需要两条模具产品记录。,
Family Mold validation is incomplete,家族模（一模多件）校验未完成,
At least two Mold Product rows are required before save or submit.,保存或提交前至少需要两条模具产品记录。,
Item Code,物料编码,
Item Name,物料名称,
Producible Items,可生产物料,
Default Product,默认产品,
Part,备件,
Part Code,备件编码,
Part Name,备件名称,
Preferred,优先,
Fitment,适配,
Fitment Notes,适配说明,
Specification,规格,
Alternative Part,替代备件,
Applicable Molds,适用模具,
Spare Part,备件,
Spare Part is required.,必须选择备件。,
Spare Part {0} is not mapped to Mold {1}.,备件 {0} 未关联到模具 {1}。,
Mold {0} is listed more than once in Applicable Molds.,模具 {0} 在适用模具中重复出现。,
Alternative Part cannot point to the same Mold Spare Part.,替代备件不能指向当前同一条模具备件。,
No spare parts are mapped to this mold yet.,当前模具尚未配置备件。,
Spare Parts for {0},{0} 的备件,
Recording Spare Part Usage...,正在记录备件使用...,
Usage Date,使用日期,
Qty,数量,
Used By,使用人,
UOM,计量单位,
Required field is empty,必填字段为空,
Allowed Item For This Mold,此模具允许的物料,
Task,任务,
General Mold Maintenance,通用模具保养,
Default Maintenance Team,默认保养团队,
Default Maintenance Team must be configured in Mold Management Settings.,必须先在模具管理设置中配置默认保养团队。,
Assign To,分配给,
Due Date,到期日期,
Periodicity,周期性,
Generating Maintenance...,正在生成保养单...,
Generating Repair...,正在生成维修单...,
Generating Outsource...,正在生成外协单...,
Generating {0}...,正在生成 {0}...,
Failure Date,故障日期,
Error Description,故障描述,
Outsource Type,外发类型,
Outsource Date,外发日期,
Expected Return Date,预计归还日期,
Destination,目的地,
Destination Type,目的地类型,
Destination Name,目的地名称,
Destination Location,目的地位置,
Destination Name is required when destination type is Other.,当目的地类型为“其他”时，必须填写目的地名称。,
Return Result,归还结果,
Actual Return Date,实际归还日期,
Outsource Status,外发状态,
Updating Outsource Return...,正在更新外发归还...,
Returning Outsourced Mold...,正在归还外发模具...,
Returning Mold To Default Location...,正在将模具归还到默认位置...,
Only submitted outsource documents can be returned.,只有已提交的外发单据才能执行归还。,
No open outsource document was found for mold {0}.,未找到模具 {0} 的未关闭外发单据。,
No outsource return is pending,当前没有待归还的外发单据,
This mold does not have an open outsource document to return.,当前模具没有可归还的未关闭外发单据。,
Outsource is not allowed in the current status,当前状态不允许外发,
Only active molds can be outsourced.,只有启用状态的模具才允许外发。,
Mold is currently outsourced,模具当前处于外发中,
Outsourced to {0},已外发至 {0},
External Destination,外部目的地,
No issue return is pending,当前没有待归还的领用单据,
"This mold is not currently issued out, so no receipt back to the standard location is needed.",该模具当前并未处于领用状态，因此无需归还到标准位置。,
Issue is not allowed in the current status,当前状态不允许领用,
Only active molds can be issued out.,只有启用状态的模具才允许领用。,
Transfer is not allowed in the current status,当前状态不允许转移,
Only active molds can be transferred internally.,只有启用状态的模具才允许内部转移。,
Mold is currently issued,模具当前已领用,
Issued to {0},已领用至 {0},
Mold is already under maintenance,模具已处于维修/保养中,
Mold is already in internal maintenance flow,模具已在内部维修流程中,
Finish the current maintenance flow before starting another repair or maintenance document.,请先完成当前维修流程，再创建新的维修或保养单据。,
Mold is still pending asset linkage,模具仍在等待资产关联,
This mold cannot enter lifecycle transactions until its asset is created or linked.,该模具在创建或关联资产前，不能进入生命周期业务流程。,
Mold is already scrapped,模具已报废,
Scrapped molds cannot start new lifecycle actions.,已报废模具不能再发起新的生命周期操作。,
This action is blocked by mold lifecycle guardrails.,该操作被模具生命周期管控规则阻止。,
This action is blocked by the mold lifecycle state.,该操作被当前模具生命周期状态阻止。,
Lifecycle Guardrail,生命周期管控,
Lifecycle field {0} can only be updated by system actions.,生命周期字段 {0} 只能由系统动作更新。,
Submitted mold is locked,已提交模具已锁定,
"Use Basic Info Edit for non-lifecycle changes. Status, current location, current transaction and version stay system-controlled.",如需修改非生命周期字段，请使用基础信息编辑。状态、当前位置、当前事务及版本仍由系统控制。,
Only non-lifecycle fields are unlocked. Save to keep changes or cancel to reload the locked record.,仅非生命周期字段会被解锁。保存可保留改动，取消则重新加载锁定记录。,
Scrap the linked asset for this mold?,是否报废该模具关联的资产？,
Scrapping Asset...,正在报废资产...,
Popup was blocked. Please allow popups and try again.,弹窗被浏览器拦截，请允许弹窗后重试。,
Please select at least one Mold.,请至少选择一个模具。,
Results,结果,
No records found,未找到记录,
Export CSV / Excel,导出表格文件,
Processing...,处理中...,
No,否,
Yes,是,
Major,重大,
Minor,轻微,
Type,类型,
From Date,开始日期,
To Date,结束日期,
Reason is required,必须填写原因,
Cancel the later mold alterations first.,请先取消后续的模具改模记录。,
Invalid mold version: {0},模具版本无效：{0},
"Version must follow the format A0, A1, B0, etc.","版本必须符合 A0、A1、B0 等格式。",
Major version cannot move beyond Z.,主版本字母不能超过 Z。,
Unsupported alteration type: {0},不支持的改模类型：{0},
Unsupported asset setup mode: {0},不支持的资产建档模式：{0},
"Minor keeps the letter and increments the number, for example A0 -> A1. Major increments the letter and resets the number, for example A3 -> B0.",轻微改模保持字母不变并递增数字，例如 A0 -> A1。重大改模则递增字母并将数字重置，例如 A3 -> B0。,
the current holder,当前持有人,
Awaiting asset creation or linkage,等待创建或关联资产,
Required Asset Category,必填资产类别,
Please create purchase receipt or purchase invoice for the item {0},请先为物料 {0} 创建采购收货或采购发票,
Update stock must be enabled for the purchase invoice {0},采购发票 {0} 必须启用更新库存,
Enter depreciation details,请输入折旧信息,
Depreciation cannot be calculated for fully depreciated assets,已完全折旧的资产不能再计算折旧,
Other,其他,
Draft,草稿,
External Production,外部生产,
External Maintenance,外部维修,
External Modification,外部改模,
External Inspection,外部检验,
INJ,注塑,
Hot Runner,热流道,
Cold Runner,冷流道,
Insert,嵌（镶）件,
2K / Overmold,双色 / 包胶,
Unscrewing,退牙,
Stack,叠层,
Default Materials,默认用料,
Cavity Count is required.,穴数为必填项。,
Cavity Count must be greater than zero.,穴数必须大于 0。,
Output Qty is required for each Mold Product row when Family Mold is enabled.,启用家族模时，每条模具产品都必须填写产出数量。,
Cavity Output Qty must be greater than zero.,每穴产出数量必须大于 0。,
Sum of Output Qty must equal Cavity Count for Family Mold.,家族模下，子表产出数量合计必须等于主表穴数。,
Non-family molds require exactly one Mold Product row.,非家族模必须且只能有一条模具产品记录。,
Item Group,物料组,
Plastic Part,塑胶件,
Sub-assemblies,半成品,
Only Plastic Part and Sub-assemblies can be selected in Mold Product for APS scheduling.,模具产品仅允许选择塑胶件和半成品，以便用于 APS 排产。,
Non-schedulable mold outputs detected,检测到不可排产的模具产出,
Mold Product only supports Plastic Part and Sub-assemblies for APS scheduling. Clean these rows before submit.,模具产品仅支持塑胶件和半成品用于 APS 排产。提交前请清理这些明细行。,
Mold Product row {0} item {1} belongs to item group {2}. Only {3} can be selected for mold outputs.,模具产品第 {0} 行物料 {1} 属于物料组 {2}。模具产出只能选择 {3}。,
(blank),（空白）,
Amended From,修订自,
Asset {0} is already linked to Mold {1}.,资产 {0} 已关联到模具 {1}。,
Asset {0} uses Asset Category {1}. Required category for this mold is {2}.,资产 {0} 使用的资产类别为 {1}。当前模具要求的资产类别为 {2}。,
Asset {0} uses Item {1}. Only Item {2} is allowed for mold assets.,资产 {0} 使用的物料为 {1}。模具资产仅允许使用物料 {2}。,
Cannot uninstall Mold Management while business data still exists: {0},仍存在业务数据，不能卸载模具管理：{0},
Card Break,卡片分隔,
Create or link the mold Asset first. Lifecycle actions stay locked until the asset has been established.,请先创建或关联模具资产。资产建档完成前生命周期操作会保持锁定。,
Default Mold Location must be configured before creating an Asset.,创建资产前必须先配置默认模具位置。,
Defaults,默认值,
DocType,单据类型,
Governance,治理,
Issue Print Format,领用打印格式,
Link,链接,
Maintenance Print Format,保养打印格式,
"Mold Storage Location {0} already uses Warehouse {1}, Location {2}, Storage Bin {3}.",模具存放位置 {0} 已使用仓库 {1}、位置 {2}、储位 {3}。,
Mold {0} already has an active internal repair or maintenance document {1}. Complete or cancel that document first before you {2}.,模具 {0} 已有未完成的内部维修或保养单据 {1}。请先完成或取消该单据，再执行 {2}。,
Mold {0} is already linked to Asset {1}. Unlink it first before linking another asset.,模具 {0} 已关联资产 {1}。请先取消当前关联，再关联其他资产。,
Mold {0} is currently issued to {1}. Return it to the default warehouse first before you {2}.,模具 {0} 当前已领用至 {1}。请先归还到默认仓库，再执行 {2}。,
Mold {0} is currently outside at {1}. Return it first before you {2}.,模具 {0} 当前在外部地点 {1}。请先归还，再执行 {2}。,
One role per line.,每行填写一个角色。,
Outsource Print Format,外发打印格式,
Printing,打印,
Receipt Print Format,归还打印格式,
Recent Activity,最近活动,
Related Document,关联单据,
Repair Print Format,维修打印格式,
Return Result is required when Actual Return Date is set.,填写实际归还日期时必须填写归还结果。,
Scrap Print Format,报废打印格式,
Status stays pending until an asset is linked,关联资产前状态会保持待处理,
Supplier is required for supplier outsource destinations.,外发目的地为供应商时必须填写供应商。,
Transfer Print Format,转移打印格式,
